BBBBB: 182 solutions, best guess = clint
BBYBB: 137 solutions, best guess = clint
BBBBY: 119 solutions, best guess = denet
BBBYY: 117 solutions, best guess = direr
BGBBB: 87 solutions, best guess = culty
BBBBG: 79 solutions, best guess = guilt
BBYBY: 68 solutions, best guess = canal
GBBBB: 63 solutions, best guess = thilk
BBYYY: 61 solutions, best guess = talar
BYBYB: 59 solutions, best guess = cutin
BBBYB: 57 solutions, best guess = glint
BYBBB: 56 solutions, best guess = clint
BYYBB: 44 solutions, best guess = cloot
BBYYB: 42 solutions, best guess = radar
GBGBB: 41 solutions, best guess = thilk
BBGYB: 40 solutions, best guess = clint
BBYBG: 40 solutions, best guess = gault
BBGBB: 40 solutions, best guess = clink
BBBYG: 39 solutions, best guess = pudic
GYBBB: 37 solutions, best guess = cloot
GBBBY: 35 solutions, best guess = clipt
YBBBB: 33 solutions, best guess = hists
BBGBG: 28 solutions, best guess = glitz
BYYYB: 27 solutions, best guess = baron
BGBBY: 26 solutions, best guess = meynt
BGBYB: 26 solutions, best guess = cyton
BYBBY: 25 solutions, best guess = demon
GBBBG: 23 solutions, best guess = pling
YBYBB: 23 solutions, best guess = linty
BGBYY: 22 solutions, best guess = rewth
BGYBB: 21 solutions, best guess = liman
BBGBY: 21 solutions, best guess = depth
BYBBG: 20 solutions, best guess = clink
BBGYG: 19 solutions, best guess = ditch
YBBBY: 19 solutions, best guess = teugh
GBYBB: 19 solutions, best guess = dault
GBGBG: 18 solutions, best guess = thilk
YBBYB: 16 solutions, best guess = cruft
YGBBB: 15 solutions, best guess = jumby
YBYBG: 15 solutions, best guess = thump
YBBYY: 15 solutions, best guess = richt
BBBGY: 14 solutions, best guess = feted
YBGBB: 14 solutions, best guess = gulch
BYBYG: 14 solutions, best guess = pownd
BBGGB: 13 solutions, best guess = dhuti
BBBGB: 13 solutions, best guess = fitch
BYBYY: 13 solutions, best guess = trued
GBBYY: 13 solutions, best guess = newie
GYBBG: 12 solutions, best guess = knelt
BBYGB: 11 solutions, best guess = humic
YGBBG: 11 solutions, best guess = pilum
GBGGB: 11 solutions, best guess = kempt
GYBGB: 10 solutions, best guess = chant
BGBBG: 10 solutions, best guess = guild
BBGGY: 9 solutions, best guess = lathy
GBBYB: 9 solutions, best guess = butch
BGBYG: 9 solutions, best guess = fungi
GBYBY: 9 solutions, best guess = knelt
GBYYB: 8 solutions, best guess = putty
YBBBG: 8 solutions, best guess = inert
BGYYB: 8 solutions, best guess = balmy
BYBGB: 8 solutions, best guess = pithy
BYYBG: 8 solutions, best guess = bundt
GBBGB: 8 solutions, best guess = light
YBGYB: 7 solutions, best guess = bachs
YBGBG: 7 solutions, best guess = belch
GGBBB: 7 solutions, best guess = lusty
YYBBB: 7 solutions, best guess = gloom
YBBYG: 7 solutions, best guess = count
BBYYG: 7 solutions, best guess = carol
GBYYY: 6 solutions, best guess = whelp
GYBGG: 6 solutions, best guess = chant
BGBGB: 6 solutions, best guess = could
YBGBY: 5 solutions, best guess = lofty
BYYGB: 5 solutions, best guess = acorn
GBGGG: 5 solutions, best guess = chant
BGGBB: 5 solutions, best guess = loath
YYBYB: 5 solutions, best guess = digit
YYBBG: 5 solutions, best guess = hatch
YBYBY: 5 solutions, best guess = tweed
BBYGY: 5 solutions, best guess = delta
BBGGG: 4 solutions, best guess = fling
GBBYG: 4 solutions, best guess = spree
BYYBY: 4 solutions, best guess = ocean
GYYBB: 4 solutions, best guess = salon
YGBYB: 4 solutions, best guess = worst
BBGYY: 4 solutions, best guess = death
YBYYB: 4 solutions, best guess = marsh
YBYYG: 3 solutions, best guess = arise
YGBYG: 3 solutions, best guess = worse
YGGBB: 3 solutions, best guess = bench
YYBBY: 3 solutions, best guess = onset
GBYBG: 3 solutions, best guess = saute
YYYBB: 3 solutions, best guess = mason
BYBGY: 3 solutions, best guess = retro
BBBGG: 3 solutions, best guess = there
BYBGG: 2 solutions, best guess = ombre
GGYYB: 2 solutions, best guess = solar
BGGGB: 2 solutions, best guess = hoard
BBYGG: 2 solutions, best guess = azure
GGBYY: 2 solutions, best guess = sower
YGBBY: 2 solutions, best guess = poesy
YGBYY: 2 solutions, best guess = loser
GBBGY: 2 solutions, best guess = stern
GBBGG: 2 solutions, best guess = shire
BYYGY: 1 solutions, best guess = opera
BYYGG: 1 solutions, best guess = adore
GBGYB: 1 solutions, best guess = stair
BYGGB: 1 solutions, best guess = ovary
BYGBG: 1 solutions, best guess = ovate
GYBYB: 1 solutions, best guess = scour
YBBGB: 1 solutions, best guess = usurp
YBGYG: 1 solutions, best guess = erase
BYGBB: 1 solutions, best guess = piano
GGGBB: 1 solutions, best guess = soapy
GGBGB: 1 solutions, best guess = sorry
BGGYB: 1 solutions, best guess = roach
YGGYB: 1 solutions, best guess = roast
GGBBG: 1 solutions, best guess = solve
BYGYB: 1 solutions, best guess = bravo
BGYGB: 1 solutions, best guess = cobra
YYBYG: 1 solutions, best guess = prose
YYBYY: 1 solutions, best guess = verso
YYGBB: 1 solutions, best guess = chaos
GYYYB: 1 solutions, best guess = savor
YYYYB: 1 solutions, best guess = arson
YYYYG: 1 solutions, best guess = arose
